Jour;Temp. min;Temp. max;Temp. moy;Pluie;Ensol.;Vent moyen;Rafale max;Direc. vent;
;;;;;;;;;
;Temp‚rature minimale en degr‚s Celcius;Temp‚rature maximale en degr‚s Celcius;Temp‚rature moyenne en degr‚s Celcius;Pluviom‚trie en mm;Dur‚e d'ensoleillement en heures;Vitesse du vent moyenne en km/h;Rafale de vent maximale en km/h;Direction du vent dominante;
;;;;;;;;;
1;9.7;12.7;11.2;0.4;0;18.2;55.5;oso;
2;6.5;11.4;9;0;6.7;19.1;59.2;o;
3;2.8;11.9;7.4;2;3.3;12.4;44.4;s;
4;0.8;10.7;5.8;0.2;6.9;14.2;48.1;nno;
5;-1.6;12.4;5.4;0;10.4;4.3;22.2;n;
6;-1.7;13.2;5.8;0;9.1;6.6;25.9;sse;
7;0.8;17.8;9.3;0;9.5;7.1;24.1;s;
8;-1.3;14.7;6.7;0;6.7;6.4;25.9;n;
9;8.1;13.8;11;0;3.7;7.3;22.2;sso;
10;6.7;11.9;9.3;2.4;0;6.2;18.5;e;
11;8.9;13.8;11.4;0;0;7.5;25.9;e;
12;2.3;16.3;9.3;0;7.7;7.7;31.5;n;
13;6.7;8.9;7.8;1;0.2;14;42.6;no;
14;3;8.2;5.6;0;0.9;16.3;46.3;nne;
15;3.2;8;5.6;0;0;8.9;27.8;n;
16;3;11.1;7.1;0;2.7;4.6;16.7;ene;
17;4.3;14.8;9.6;0;4.5;7;24.1;e;
18;1.6;17.4;9.5;0;7.6;14.7;44.4;ne;
19;3.1;12.7;7.9;0;7.7;16.9;50;nne;
20;6.6;9.2;7.9;0.2;0;17.3;51.8;nne;
21;3.5;12.9;8.2;0;5.2;19.6;53.7;nne;
22;5.1;9.4;7.3;0;4.7;17.4;42.6;nne;
23;-1.3;13.3;6;0;7.2;9.7;33.3;n;
24;4.3;11.1;7.7;2;3.6;10.2;57.4;nno;
25;0;10.9;5.5;2.6;8.1;10.3;38.9;n;
26;1.6;13.5;7.6;0;;17.3;46.3;s;
27;2;11.6;6.8;1.6;1.6;9.4;29.6;s;
28;9;16.8;12.9;0;1.4;18.4;53.7;oso;
29;10.4;13.3;11.9;6;0;24.7;59.2;oso;
30;10.3;15.7;13;0.2;0.5;22.1;51.8;o;
31;10.6;15.1;12.9;0;6.6;29.3;75.9;o;
